,user_name,user_location,user_description,user_verified,date,text,hashtags,source
84,VIP Consult,Bulgaria,VIP Consult is a full-service Bulgarian law firm with a reputation for providing highly professional legal services to corporate and individual clients,False,2022-09-27 04:25:46+00:00,"RT @_GlobalCrisis_: ❗️Seconds From #DISASTER! 
The statistics of casualties and damage are ever increasing, and people get no protection fr…",['DISASTER'],Twitter for Android
85,michael grey,Vancouver,"""our struggle is not against flesh & blood,but against rulers, authorities, the powers of this dark world & against the spiritual forces of evil""",False,2022-09-27 04:25:45+00:00,"RT @MikeHudema: The trains in the Netherlands are 100% #windpowered. Over 5,500 trips a day 100% #renewable.

We have the solutions. Implem…","['windpowered', 'renewable']",Twitter for Android
86,Allan Margolin,NYC USA,"Husband, Dad. Creator of I ♥ Climate Scientists, Climate Nexus Hot News. Former EDF Media Dir. & ABC Political Prod. AOMO. RT's ≠ endorsements",False,2022-09-27 04:25:00+00:00,"#Climate Costs Climb - Isn’t it time for rich nations to pay the communities that they have helped to drown? 

https://t.co/0VdIksSN6r",['Climate'],TweetDeck
87,IFPRI South Asia,"New Delhi, India","IFPRI South Asia engages in developing sustainable, evidence-based solutions towards ending hunger and poverty in the region.
@CGIAR  #OneCGIAR",False,2022-09-27 04:24:29+00:00,"#HappeningNow 
Women farmers are a crucial resource in #agriculture &amp; to build sustainable, #climate-resilient #foodsystems.👩‍🌾
The event will see discussions on the challenges &amp; possible approaches which could bridge the gendered information gap in ag extn. services.
@GROOTSKenya https://t.co/tBsd11xnDr","['HappeningNow', 'agriculture', 'climate']",Twitter Web App
88,KaylaF 💔 🌱 🇺🇦- Save our oceans & rain forests!,"San Diego, CA.","Working on MS in Marine Biology & Minor in Climate Science. LGBTQ/ BLM supporter Pro Choice radical surfer & diver, I teach Swimming & Judo to children. Vegan.",False,2022-09-27 04:23:59+00:00,"RT @MikeHudema: In these times we could all use a breath. (sound on)

Nature is amazing. Protect it.

#ActOnClimate #climate #energy #ocean…","['ActOnClimate', 'climate', 'energy']",Twitter for Android
89,Vincent Okioma,"Toronto, Ontario",,False,2022-09-27 04:23:35+00:00,"RT @MikeHudema: The trains in the Netherlands are 100% #windpowered. Over 5,500 trips a day 100% #renewable.

We have the solutions. Implem…","['windpowered', 'renewable']",Twitter for Android
90,rose brigue,,"Passionate about life, peace and happiness. Hate injustice of any kind.",False,2022-09-27 04:23:15+00:00,RT @AllanMargolin: I want YOU to be a #Climate Voter https://t.co/yifqu5m6zy,['Climate'],Twitter for Android
91,Andrea Johnson,"Costa Rica, usually",Consultant on all things forest/climate- related. CLUA advisor. Activist. Feminist. Planter of trees. Tweets my own.,False,2022-09-27 04:23:03+00:00,RT @MikeHudema: 98% of Costa Rica's power already comes from #renewables. Half of the land is covered by forest. They're aiming to transfor…,['renewables'],Twitter for Android
92,Igor,,#CreativeSociety,False,2022-09-27 04:23:00+00:00,"RT @toldbysurvivors: 🔥People felt powerless and only thing they saw were ashes... #toldbyeyewitnesses #Spain #wildfire 
🔥Do you still beliv…","['toldbyeyewitnesses', 'Spain', 'wildfire']",Twitter for Android
93,Vyacheslav,Україна,"I hope that people will understand that our strength is in unity!
We have a future only in a creative society.
https://t.co/yF4RSnoOwh",False,2022-09-27 04:22:50+00:00,"@CreativeScty We have a unique opportunity to change the world, and get on a consciousness course! Then technical possibilities never before seen before will open before us.
Let's build a #creativesociety together, where human life is of the highest value!
👇
https://t.co/J7TJm2QCaH
 #Climate https://t.co/u55yWGPhby",,Twitter for Android
94,Dave Powers,manhattan,Kindness.,False,2022-09-27 04:22:28+00:00,"RT @MikeHudema: This mobile #solar plant can be set up anywhere and generate 3x the power of a domestic solar array.

We have the solutions…",['solar'],Twitter for iPhone
95,Kindu,,,False,2022-09-27 04:22:25+00:00,"RT @NorthernComd_IA: #Climate may change; Adversaries may change; Places may change, but responsibility of protecting the #Country never ch…","['Climate', 'Country']",Twitter for Android
96,Deborah Ziska,"Washington, DC","Tweeting about muses, whatever amuses or saddens…makes me reflect. Teacher, traveler, writer, filmmaker, environmentalist, museums & communications consultant.",False,2022-09-27 04:22:12+00:00,"RT @MikeHudema: The trains in the Netherlands are 100% #windpowered. Over 5,500 trips a day 100% #renewable.

We have the solutions. Implem…","['windpowered', 'renewable']",Twitter for iPhone
97,Saya 💙🤍🧡,Earth!,🎵It's a great big universe/and we're all really puny/we're just tiny little specks/about the size of Mickey Rooney🎵,False,2022-09-27 04:21:55+00:00,RT @MikeHudema: 98% of Costa Rica's power already comes from #renewables. Half of the land is covered by forest. They're aiming to transfor…,['renewables'],Twitter for iPhone
98,Randy Dyck,Vancouver Island,Sea Level Rise is coming to a shore near you. Your investment might just be going under. Born at CO2 level 316. Stop using fossil fuels.,False,2022-09-27 04:21:45+00:00,RT @vlad_rad: Looking pretty #warm out #west into next week. #BCHeat #BCStorm #PNW #Climate #EndlessSummer https://t.co/di2z2dM1gg,"['warm', 'west', 'BCHeat', 'BCStorm', 'PNW', 'Climate', 'EndlessSummer']",Twitter Web App
99,Bert Rorije,"Haarlem, The Netherlands",Bedenkt en ontwikkelt in co-creatie met ondernemers nieuwe betekenisvolle bedrijven en organisaties.,False,2022-09-27 04:21:21+00:00,"RT @MikeHudema: Over 11,000 scientists from 153 countries have banded together to declare a #climateemergency. Listen to them.

There is no…",['climateemergency'],Twitter for iPad
100,Dendry Hellen,,"Food Scientist and Researcher
Psychologist
LEMP alumni
ITCOA 2020 alumni

Dream, believe, focus and accomplish.",False,2022-09-27 04:21:18+00:00,"RT @MikeHudema: Over 11,000 scientists from 153 countries have banded together to declare a #climateemergency. Listen to them.

There is no…",['climateemergency'],Twitter Web App
